sample_index,sample_id,CH4,CO,T,U_1,p
2130,trajectory_000000:2130,0.060488972812891006,0.2016909420490265,0.06123444065451622,0.24335576593875885,0.005873783957213163
2170,trajectory_000000:2170,0.07301443815231323,0.21257314085960388,0.07477579265832901,0.20217154920101166,0.006199771538376808
2210,trajectory_000000:2210,0.07666919380426407,0.20106945931911469,0.07197368144989014,0.2017967402935028,0.009116812609136105
2250,trajectory_000000:2250,0.08611197769641876,0.20898465812206268,0.06779352575540543,0.2476239800453186,0.00965182390064001
2291,trajectory_000000:2291,0.06558870524168015,0.15903286635875702,0.0508011132478714,0.21541079878807068,0.00645490875467658
2331,trajectory_000000:2331,0.06450909376144409,0.2031799852848053,0.07279664278030396,0.21260660886764526,0.0071560596115887165
2371,trajectory_000000:2371,0.082760751247406,0.2398684024810791,0.08102395385503769,0.19703887403011322,0.010093308985233307
2411,trajectory_000000:2411,0.07877547293901443,0.19427946209907532,0.06291273981332779,0.20006753504276276,0.00867101363837719
2451,trajectory_000000:2451,0.059739816933870316,0.1771969199180603,0.053248338401317596,0.16092921793460846,0.006567757576704025
2492,trajectory_000000:2492,0.050809748470783234,0.17625045776367188,0.05298168584704399,0.15821987390518188,0.005610862746834755
2532,trajectory_000000:2532,0.07653284072875977,0.21212442219257355,0.08295363187789917,0.278973251581192,0.006997080985456705
2572,trajectory_000000:2572,0.09198567271232605,0.263168066740036,0.09081832319498062,0.20112937688827515,0.007284160237759352
2612,trajectory_000000:2612,0.0862695723772049,0.20363882184028625,0.06983041763305664,0.20170316100120544,0.006583284121006727
2652,trajectory_000000:2652,0.0547194741666317,0.16977627575397491,0.052384283393621445,0.14818361401557922,0.004977287724614143
2693,trajectory_000000:2693,0.06864900887012482,0.19042126834392548,0.06557168811559677,0.20016400516033173,0.008118913508951664
2733,trajectory_000000:2733,0.06341541558504105,0.16561056673526764,0.05211407318711281,0.21846380829811096,0.006890205666422844
2773,trajectory_000000:2773,0.07752066850662231,0.2375076413154602,0.0720146894454956,0.1902511864900589,0.005981418304145336
2813,trajectory_000000:2813,0.06509323418140411,0.2251964509487152,0.06890270859003067,0.20765767991542816,0.004772251006215811
2853,trajectory_000000:2853,0.058018188923597336,0.20284603536128998,0.06280352175235748,0.2577415108680725,0.006770514417439699
2894,trajectory_000000:2894,0.0867072194814682,0.23350416123867035,0.08139171451330185,0.253405898809433,0.008240154013037682
2934,trajectory_000000:2934,0.04963803291320801,0.14841102063655853,0.04658527672290802,0.2135130912065506,0.007739271502941847
2974,trajectory_000000:2974,0.07779053598642349,0.22080695629119873,0.06340146064758301,0.22377006709575653,0.005968539975583553
3014,trajectory_000000:3014,0.055181678384542465,0.1827326864004135,0.05696919187903404,0.21251758933067322,0.007119037210941315
3054,trajectory_000000:3054,0.08365964144468307,0.24096092581748962,0.07741875946521759,0.1968383938074112,0.007536205463111401
3095,trajectory_000000:3095,0.0801365077495575,0.1914757341146469,0.06422226876020432,0.17766667902469635,0.007427814416587353
3135,trajectory_000000:3135,0.06336725503206253,0.1859721541404724,0.057956766337156296,0.19311361014842987,0.005722796078771353
3175,trajectory_000000:3175,0.08133973926305771,0.23502714931964874,0.077682264149189,0.23978161811828613,0.00541720911860466
3215,trajectory_000000:3215,0.06193409860134125,0.1791755110025406,0.06412756443023682,0.22421640157699585,0.006162767764180899
3255,trajectory_000000:3255,0.07917170971632004,0.2612782418727875,0.08377989381551743,0.22047939896583557,0.005798783153295517
3296,trajectory_000000:3296,0.0880015417933464,0.22440607845783234,0.07646773755550385,0.21200834214687347,0.006936170626431704
3336,trajectory_000000:3336,0.07431156933307648,0.20304034650325775,0.06608982384204865,0.2065299153327942,0.005711227189749479
3376,trajectory_000000:3376,0.053810738027095795,0.196348175406456,0.057656656950712204,0.26252731680870056,0.005718248896300793
3416,trajectory_000000:3416,0.09107664972543716,0.23636573553085327,0.07557211816310883,0.2250739336013794,0.006703921128064394
3456,trajectory_000000:3456,0.08341331034898758,0.2625595033168793,0.06967902183532715,0.19945885241031647,0.0059507773257792
3497,trajectory_000000:3497,0.061155617237091064,0.21770204603672028,0.05805699899792671,0.23993952572345734,0.005625286605209112
3537,trajectory_000000:3537,0.05821925774216652,0.20848973095417023,0.06928692013025284,0.22831836342811584,0.006998671218752861
3577,trajectory_000000:3577,0.07762355357408524,0.24347731471061707,0.08086380362510681,0.2631860673427582,0.008900752291083336
3617,trajectory_000000:3617,0.09509459882974625,0.2239871770143509,0.07133429497480392,0.214340940117836,0.009146700613200665
3657,trajectory_000000:3657,0.0721963569521904,0.20393860340118408,0.05992363765835762,0.20831675827503204,0.005838027223944664
3698,trajectory_000000:3698,0.05840187519788742,0.1964900642633438,0.06301835924386978,0.2669757604598999,0.007366424426436424
3738,trajectory_000000:3738,0.09668529778718948,0.26521599292755127,0.09300161898136139,0.27673548460006714,0.007462785113602877
3778,trajectory_000000:3778,0.06556522101163864,0.18328958749771118,0.061785899102687836,0.18788468837738037,0.006574391387403011
3818,trajectory_000000:3818,0.06612252444028854,0.1990486979484558,0.05636536702513695,0.18865647912025452,0.006651970557868481
3858,trajectory_000000:3858,0.0713457390666008,0.2456539273262024,0.06586652994155884,0.21175162494182587,0.00716239120811224
3899,trajectory_000000:3899,0.073609359562397,0.23738256096839905,0.07833809405565262,0.19308851659297943,0.008050337433815002
3939,trajectory_000000:3939,0.08907785266637802,0.23162692785263062,0.07593408226966858,0.19245092570781708,0.008365727961063385
3979,trajectory_000000:3979,0.07504890114068985,0.19557051360607147,0.056693922728300095,0.20755910873413086,0.00646556681022048
4019,trajectory_000000:4019,0.05896643549203873,0.17825990915298462,0.05439209192991257,0.21788407862186432,0.006334876641631126
4059,trajectory_000000:4059,0.07470180094242096,0.2576882839202881,0.07909666001796722,0.2782056927680969,0.008355353958904743
4099,trajectory_000000:4099,0.07613323628902435,0.23981963098049164,0.07539596408605576,0.2950284481048584,0.006303058471530676
4140,trajectory_000000:4140,0.09292730689048767,0.26841938495635986,0.08279825001955032,0.2597857713699341,0.006280769128352404
